checking_account,duration,credit_history,purpose,credit_amount,savings_account,employment,installment_rate,personal_status,other_debtors,residence_since,property,age,other_installments,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target
1,7,3,9,2510,3,2,1,0,0,1,0,71,1,1,3,2,1,0,0,2
0,38,1,3,9955,0,3,1,0,0,2,2,20,2,1,1,1,1,0,1,1
1,34,0,4,3281,0,0,2,4,2,1,2,60,0,1,2,2,1,1,1,1
3,38,3,2,9383,2,0,3,4,0,3,1,54,0,0,1,0,1,0,0,1
0,15,1,7,11672,2,3,3,2,2,3,3,31,1,0,1,0,1,1,1,1
1,35,3,4,3529,1,4,2,0,2,3,2,64,1,0,2,1,1,0,0,1
0,12,2,3,2124,3,4,2,3,1,2,0,25,0,1,3,3,1,0,1,2
2,68,2,7,14964,2,1,2,0,2,1,2,32,2,1,1,3,1,0,0,1
1,43,0,4,13728,3,0,3,1,0,2,2,72,2,2,2,0,1,1,0,1
1,6,3,5,5021,0,4,1,1,0,3,3,60,1,2,3,2,1,0,1,1
0,38,0,4,16438,4,3,1,0,0,1,0,25,1,0,2,3,1,0,0,1
2,66,2,2,4286,1,1,1,4,1,1,0,27,0,0,1,3,1,1,1,1
2,54,4,1,17160,2,3,1,2,1,3,1,33,2,1,1,3,1,0,0,1
3,22,4,9,2317,2,4,2,1,2,2,1,22,2,2,3,0,1,0,0,2
1,64,4,1,12298,4,1,3,2,1,1,3,29,1,0,1,0,1,1,0,1
0,16,4,3,599,1,3,2,0,0,1,2,51,1,0,1,0,1,1,1,1
3,20,2,7,3852,1,3,2,2,2,2,2,19,2,0,1,0,1,1,0,2
2,14,1,1,7635,1,2,1,2,2,2,2,35,2,1,3,0,1,0,1,2
2,66,4,7,1806,1,3,2,1,2,3,3,36,0,2,2,1,1,1,1,2
0,52,4,8,8589,0,1,1,4,1,3,1,73,2,2,3,2,1,0,1,1
1,39,4,7,4484,0,4,3,1,1,2,0,73,2,1,2,1,1,1,1,1
3,49,3,3,2055,1,4,2,0,1,2,0,66,2,0,1,1,1,0,1,2
3,21,0,0,17805,2,4,2,2,2,3,1,38,1,1,1,0,1,1,1,1
1,8,2,9,18168,1,3,3,4,0,3,2,48,1,1,1,0,1,1,0,2
3,61,2,3,17812,1,0,1,1,2,1,1,47,0,0,1,3,1,0,0,1
3,69,4,8,3062,3,1,2,0,0,3,1,67,1,2,2,2,1,0,1,2
1,6,1,2,7220,1,2,2,4,1,3,1,60,0,2,1,0,1,1,0,1
3,7,1,1,6225,4,4,1,2,0,1,3,69,1,0,1,3,1,1,1,1
1,42,0,8,6195,3,2,1,0,1,3,3,49,0,0,2,3,1,1,0,1
0,6,4,10,7853,0,2,1,3,2,1,0,70,1,0,2,3,1,1,0,1
2,53,3,9,9557,1,0,1,1,2,2,0,60,1,2,3,0,1,1,0,1
2,68,0,8,9103,0,3,3,4,2,2,0,60,0,1,2,2,1,0,0,2
0,23,2,2,5573,1,1,1,1,0,3,3,56,2,0,2,3,1,0,1,1
3,24,2,10,18131,1,0,1,2,0,3,1,37,1,0,2,3,1,1,1,1
0,62,2,7,18128,0,4,3,2,2,2,3,53,2,0,1,0,1,0,0,1
3,28,4,1,6294,0,0,2,1,1,2,2,38,0,1,2,3,1,1,0,1
0,20,0,1,4287,2,0,3,2,0,3,2,55,2,2,2,1,1,0,1,1
3,9,1,9,9972,3,0,3,0,2,3,1,33,0,0,1,1,1,0,0,1
3,61,0,3,6986,1,2,1,3,1,3,1,63,1,0,3,2,1,0,1,2
3,66,1,8,18265,4,0,2,3,0,3,0,50,1,1,2,3,1,1,1,1
2,9,4,1,8086,1,4,1,4,2,3,2,58,1,2,3,0,1,0,0,1
1,58,4,3,975,4,2,2,1,1,3,1,31,1,1,1,2,1,0,0,2
2,14,0,3,2532,1,1,3,1,1,3,1,63,2,0,3,3,1,1,0,1
1,13,3,3,1610,2,0,3,2,2,1,0,63,0,0,2,2,1,0,0,2
3,29,1,7,7236,3,2,3,3,1,2,3,27,2,2,3,1,1,1,0,1
2,33,0,10,6026,0,0,1,4,1,1,3,38,0,2,2,0,1,1,1,1
1,62,1,10,15885,4,4,1,0,1,2,1,56,0,2,2,2,1,0,0,1
2,51,0,8,16503,1,1,2,1,0,2,2,67,0,1,1,2,1,1,1,1
2,13,2,2,2811,2,2,1,1,0,1,3,60,2,2,3,2,1,0,1,1
0,43,4,10,17488,3,0,2,1,2,3,2,45,0,1,1,3,1,0,0,1
0,63,2,5,10908,3,0,3,2,0,3,2,35,1,0,1,2,1,1,1,1
0,49,3,6,5849,0,1,1,4,1,2,1,69,1,1,2,2,1,0,0,1
0,19,2,7,7671,4,0,3,0,0,3,2,67,2,2,3,0,1,0,1,2
1,12,0,8,8305,3,3,3,4,0,1,2,69,1,1,3,2,1,0,1,1
2,34,0,10,3362,4,4,3,3,1,2,2,36,2,2,3,0,1,1,1,2
2,36,1,6,16080,2,4,1,3,2,1,2,43,2,2,2,2,1,0,1,2
1,27,1,6,475,3,1,1,3,1,1,2,32,2,0,3,0,1,0,0,2
3,11,4,8,1522,2,3,1,0,0,1,0,72,2,0,2,3,1,1,0,2
2,12,4,2,5238,4,2,1,3,0,2,3,67,0,0,2,1,1,0,0,2
0,39,4,3,2870,4,0,1,1,0,2,3,28,1,2,1,1,1,0,1,1
3,68,3,6,1378,4,0,2,2,2,3,0,32,1,2,3,0,1,0,0,1
2,44,2,0,7246,2,2,1,3,0,2,1,49,0,0,1,0,1,1,1,2
2,33,3,3,7126,3,2,1,3,1,3,3,42,0,0,1,3,1,1,0,1
2,67,2,7,2541,1,0,3,1,0,2,1,44,0,1,2,1,1,1,1,2
2,50,3,10,15036,2,4,3,1,1,1,3,39,2,1,2,2,1,0,1,2
0,52,3,5,16356,3,3,3,2,2,1,3,56,1,2,1,3,1,1,0,1
2,43,3,4,13384,0,2,1,0,1,1,3,69,0,2,2,2,1,1,0,1
3,55,3,4,9779,3,4,2,3,1,2,0,70,2,0,1,0,1,1,1,1
1,38,0,7,17539,0,4,2,0,0,2,1,44,2,0,2,1,1,0,0,1
2,46,3,5,6646,2,4,1,2,0,3,2,65,2,1,3,1,1,1,0,1
0,45,1,0,8043,2,1,3,3,2,1,3,57,2,1,3,1,1,0,0,2
1,55,3,5,524,2,4,2,0,0,1,0,30,2,2,1,0,1,1,1,1
1,65,2,4,13167,2,2,3,4,1,3,1,63,0,1,2,2,1,1,0,1
3,24,4,7,1938,2,3,1,1,0,1,0,38,2,1,2,1,1,0,0,2
0,51,1,9,12392,2,4,2,0,0,2,3,54,1,0,1,1,1,0,1,1
1,6,4,10,14529,2,0,1,3,1,1,3,59,1,0,1,1,1,1,0,2
1,40,4,6,4211,2,2,3,2,2,2,0,71,1,2,1,1,1,0,0,1
3,65,1,3,11419,3,0,2,3,0,3,0,72,1,2,3,0,1,1,0,2
3,47,2,4,5790,2,1,1,3,2,1,1,63,1,0,2,1,1,1,0,1
0,22,2,1,7519,3,2,1,2,1,2,3,47,2,2,1,3,1,0,0,1
0,45,3,10,9919,4,4,2,4,2,2,1,41,0,1,3,2,1,1,0,1
3,28,3,9,4802,4,4,1,1,0,3,1,43,0,1,1,2,1,1,0,1
0,33,4,9,14788,0,1,1,2,2,3,1,72,0,2,3,3,1,0,1,1
3,19,1,3,7451,3,1,3,0,0,1,2,30,2,2,2,2,1,0,0,2
1,46,2,3,8678,1,2,3,3,2,2,1,48,1,0,1,0,1,0,1,2
3,17,2,9,15118,0,4,2,1,1,3,0,57,1,0,2,1,1,0,1,1
1,34,4,5,4406,3,4,3,3,1,1,3,20,1,2,3,1,1,1,1,1
1,67,1,7,8503,0,1,2,4,0,3,1,54,1,2,2,1,1,1,1,2
2,55,2,5,18380,4,0,1,4,1,1,1,33,1,0,3,0,1,1,0,2
0,32,0,4,7544,3,3,3,4,0,2,2,34,0,2,3,0,1,0,1,1
2,69,4,6,2359,4,1,1,0,1,3,2,53,0,1,1,1,1,1,0,1
2,4,1,8,5440,3,0,3,0,2,2,0,19,2,1,3,3,1,1,0,2
3,69,1,3,17694,4,0,2,4,0,3,0,27,1,0,2,2,1,1,1,1
3,27,2,8,14104,0,2,1,1,0,2,0,44,0,2,3,3,1,0,0,1
2,59,2,2,15015,4,1,1,0,0,1,3,51,1,2,2,0,1,1,0,2
1,68,4,4,4877,0,2,3,1,0,3,2,25,1,1,2,1,1,1,0,1
1,44,2,10,15559,1,1,3,4,0,2,3,39,0,2,2,2,1,0,0,2
1,45,2,10,7428,0,3,2,1,0,1,2,36,0,2,3,1,1,1,0,1
3,54,0,10,14757,2,3,1,0,1,1,1,48,2,2,1,1,1,0,1,2
1,20,0,3,16326,3,2,3,3,0,2,2,35,0,2,3,1,1,1,1,2
0,16,1,9,4049,1,0,3,0,2,2,2,19,0,2,1,0,1,1,0,2
1,27,4,10,17377,4,2,2,1,2,3,1,48,1,2,3,3,1,1,1,2
0,36,4,10,11794,3,3,2,0,2,1,3,66,1,2,1,3,1,1,0,2
0,54,3,0,13588,3,1,3,3,1,2,3,51,2,1,1,0,1,0,1,1
0,21,3,8,14060,4,1,2,2,0,3,3,39,2,2,1,1,1,1,1,2
3,42,1,10,3324,2,2,1,4,2,3,3,46,0,0,2,2,1,0,1,2
2,4,0,8,13858,1,1,1,1,0,3,1,26,1,1,1,3,1,1,0,1
2,6,0,2,4136,4,2,2,1,1,1,0,32,0,1,2,3,1,0,0,1
1,69,1,8,5206,2,1,3,0,1,1,1,43,1,2,3,1,1,0,0,1
2,61,1,1,2377,3,1,3,1,2,2,2,52,0,0,1,2,1,1,1,1
0,62,0,5,3555,1,3,2,2,1,2,3,46,0,1,2,3,1,0,0,2
3,26,1,6,18115,1,2,1,0,2,1,1,72,2,0,3,3,1,1,0,1
2,38,0,5,6238,0,2,2,2,2,1,1,54,0,2,2,1,1,1,1,1
3,49,3,7,7312,1,3,1,4,1,1,1,20,1,2,3,3,1,0,1,1
0,21,4,2,9007,0,1,2,3,2,2,3,48,0,0,2,1,1,0,0,1
1,54,3,6,13261,3,0,2,3,0,3,0,51,2,2,1,0,1,1,0,2
2,51,2,7,10721,0,4,3,4,2,1,1,21,2,1,2,3,1,1,0,1
1,31,2,6,10034,3,0,3,3,0,1,0,40,1,2,2,3,1,0,0,1
1,33,1,3,15524,4,2,3,3,2,1,3,67,2,2,1,1,1,1,1,1
0,24,0,3,9300,3,1,1,4,1,3,1,38,1,0,3,1,1,1,0,2
1,58,2,2,14284,2,1,3,0,2,3,0,44,0,0,1,1,1,0,1,2
0,71,2,5,16873,0,0,1,4,0,2,1,31,0,1,1,0,1,1,0,1
1,71,0,6,12589,4,4,2,1,1,1,0,23,0,0,1,3,1,1,1,1
2,56,2,3,894,0,2,3,3,2,1,1,36,0,0,3,0,1,0,1,1
2,27,1,4,5058,3,1,3,4,0,3,3,62,0,2,2,2,1,1,0,1
2,57,0,3,11523,3,3,2,2,0,2,2,74,0,2,3,0,1,1,0,2
1,20,3,2,8989,0,0,1,0,0,1,3,55,1,1,2,2,1,1,0,1
3,64,2,7,5446,3,2,2,1,0,3,2,65,0,0,1,3,1,0,0,1
0,22,3,8,6371,0,2,3,2,1,2,3,55,1,0,2,2,1,0,1,1
1,31,3,3,1680,1,2,2,4,1,2,1,55,1,2,1,2,1,0,0,1
0,10,4,9,4537,4,0,2,4,0,2,3,42,2,0,2,3,1,1,1,1
1,9,4,6,14535,4,4,2,2,0,1,0,22,1,0,1,3,1,1,0,1
3,30,3,1,436,1,1,2,4,0,3,1,41,2,1,3,3,1,0,0,1
1,41,4,4,15522,4,3,1,2,2,3,2,67,1,1,2,0,1,1,1,1
3,5,2,0,6445,4,3,3,2,2,1,1,49,0,1,1,2,1,1,1,1
1,61,4,0,14993,3,1,1,4,0,3,1,61,1,1,3,3,1,0,1,2
2,11,3,3,4924,0,0,3,3,0,1,0,21,1,2,2,1,1,0,0,1
1,71,3,4,15375,1,1,1,2,0,2,0,30,1,1,1,2,1,0,1,1
1,22,4,8,10687,3,4,2,2,2,3,2,35,1,2,2,0,1,1,1,1
3,29,2,1,15788,4,4,2,3,2,1,3,39,1,1,1,3,1,0,0,2
3,14,3,9,1387,4,4,2,3,2,3,0,74,0,1,3,2,1,1,1,2
1,60,1,2,14802,2,1,2,2,0,1,1,44,0,1,2,2,1,1,1,2
3,53,4,1,5186,1,3,3,0,1,3,3,56,2,2,3,3,1,1,0,1
1,9,3,7,6798,4,0,1,0,0,2,3,55,2,2,3,0,1,0,1,2
2,11,3,8,1067,1,3,3,0,2,1,0,42,0,0,3,1,1,1,1,1
3,45,2,6,17661,1,2,3,2,1,3,2,73,2,2,2,3,1,0,0,2
1,62,4,1,11955,4,3,3,3,0,1,0,31,2,2,1,0,1,0,1,2
2,11,0,1,18151,2,3,1,4,2,3,0,20,0,2,2,3,1,0,0,1
1,19,0,4,10619,1,4,1,1,1,3,0,60,2,0,2,1,1,1,0,1
0,41,2,4,3136,0,2,2,3,1,1,2,55,1,2,1,2,1,1,0,1
0,11,3,10,6409,2,1,1,3,0,2,0,33,2,0,3,2,1,0,0,1
1,24,4,3,8277,4,2,3,0,0,2,1,67,1,0,3,2,1,0,1,2
3,4,2,2,2938,2,0,3,1,2,2,0,28,1,2,2,3,1,1,1,1
0,37,3,10,17249,3,0,2,1,0,2,1,33,0,0,3,1,1,1,1,2
1,52,2,1,17732,1,2,3,4,0,1,2,27,0,2,3,0,1,0,0,2
2,32,4,0,10533,3,4,1,4,2,2,1,29,1,1,1,1,1,0,1,1
0,21,3,4,10915,3,2,3,4,0,1,1,59,2,0,2,2,1,1,0,1
2,32,2,4,13088,3,3,1,2,1,3,2,58,2,0,3,3,1,1,0,1
1,38,4,6,12643,3,0,3,2,2,3,2,54,2,2,2,3,1,0,0,2
3,15,0,9,1393,2,2,2,1,1,1,0,67,1,2,3,1,1,1,0,1
2,11,4,10,9947,1,3,2,3,1,3,3,22,1,1,2,3,1,1,1,1
2,16,0,3,14432,3,1,1,0,0,3,3,53,1,2,1,0,1,0,1,1
0,71,1,10,14969,4,0,2,1,1,1,2,25,2,0,2,0,1,1,0,2
1,53,4,6,11127,4,0,3,0,1,3,2,72,0,1,2,0,1,1,0,1
3,12,3,0,16608,1,4,3,2,1,3,2,54,0,0,3,3,1,0,1,1
0,24,4,10,10948,3,3,2,1,0,1,1,61,2,1,1,0,1,0,0,2
3,32,3,1,7234,0,1,1,0,0,2,1,50,1,0,1,2,1,0,0,1
1,16,3,6,8328,2,1,2,1,2,3,1,40,1,1,1,3,1,0,1,1
2,61,1,8,12842,2,0,3,4,2,2,0,57,2,1,2,3,1,1,0,1
2,67,0,2,16428,1,4,1,2,2,1,3,65,2,1,3,3,1,1,1,1
1,20,0,2,4445,4,0,3,4,0,2,1,28,0,1,2,0,1,1,1,1
1,5,1,5,5606,4,3,3,4,2,2,1,67,1,1,3,1,1,1,0,1
2,22,0,9,12146,0,1,3,4,0,3,3,59,1,1,3,2,1,0,0,1
0,43,2,2,14185,1,1,2,1,1,2,2,23,2,0,2,2,1,1,0,1
2,58,3,7,7534,1,1,1,4,0,2,2,71,2,0,2,2,1,0,0,1
0,27,4,4,11988,4,4,1,4,2,3,0,29,1,1,1,2,1,0,1,1
2,22,2,1,373,2,0,3,4,0,2,1,52,2,2,3,1,1,0,0,1
2,20,4,7,5574,3,1,2,1,2,3,2,26,1,2,3,0,1,1,0,2
0,4,4,9,17688,4,1,1,1,0,3,1,29,2,1,3,1,1,1,1,2
3,4,4,6,10770,3,1,3,2,2,3,0,55,1,2,3,1,1,0,0,1
1,33,2,1,16099,0,0,1,4,1,1,3,57,1,2,2,2,1,1,0,2
3,45,1,1,4222,0,4,3,4,0,3,1,57,1,1,1,3,1,1,1,2
0,4,4,4,5557,1,1,2,2,0,3,2,38,2,0,3,2,1,0,0,1
0,17,1,5,18042,1,2,2,0,2,1,1,64,1,1,2,2,1,1,0,2
1,65,2,6,18459,3,1,1,2,0,2,2,21,0,1,3,0,1,1,0,2
0,71,0,2,16252,0,4,1,3,0,2,3,66,0,0,3,2,1,0,1,1
1,47,3,5,6037,1,1,3,2,1,2,3,35,1,2,1,1,1,1,0,1
2,39,3,3,14876,1,1,2,1,0,3,0,53,2,2,2,0,1,1,1,1
0,43,0,7,8623,0,1,3,1,0,3,2,69,1,0,2,0,1,1,0,1
2,29,1,8,15651,0,1,3,0,1,1,3,33,1,1,2,3,1,0,1,2
0,17,2,7,15785,0,0,1,1,2,2,2,42,2,0,1,3,1,0,1,1
0,29,2,0,8186,2,3,2,3,2,3,0,65,1,0,1,2,1,1,0,1
2,51,4,10,5808,2,0,3,1,2,2,0,67,2,0,2,3,1,0,0,1
3,49,1,0,18041,2,1,2,4,0,3,0,32,1,1,1,0,1,0,0,2
0,50,4,10,8472,2,1,2,0,1,2,0,47,2,0,1,1,1,0,0,1
1,45,2,0,8127,3,1,2,2,0,3,3,37,2,0,1,3,1,1,0,2
3,8,4,5,12396,4,3,3,2,2,3,3,47,1,1,3,0,1,0,1,1
3,46,1,1,17344,2,2,3,4,1,1,2,40,0,1,1,2,1,1,0,1
2,63,0,1,2631,3,4,3,4,0,3,2,19,1,0,2,0,1,0,1,1
1,48,0,7,18216,3,1,2,2,2,1,3,70,0,1,1,1,1,0,0,1
1,43,1,8,7957,3,4,2,3,0,3,1,54,1,0,2,1,1,0,0,1
2,19,4,1,717,0,0,2,3,0,3,1,44,0,2,1,1,1,1,0,1
2,57,0,10,5896,4,2,1,2,2,1,2,25,1,1,1,3,1,0,0,1
1,34,1,3,8690,0,3,3,0,1,1,1,22,1,2,2,3,1,0,1,1
0,21,0,3,12601,2,2,1,2,2,2,0,45,0,0,3,2,1,1,0,2
0,37,4,3,10586,3,4,3,1,1,1,2,55,0,2,1,2,1,1,0,2
3,12,3,5,2731,2,1,2,2,2,2,3,33,1,1,2,0,1,0,1,1
1,66,3,1,9160,1,0,3,3,1,1,0,60,0,0,3,0,1,0,1,2
1,51,3,4,4497,4,3,3,1,0,1,0,40,2,2,2,0,1,1,0,1
1,26,3,2,5169,0,0,2,1,0,2,1,19,2,0,3,3,1,0,1,1
3,57,3,0,13232,1,3,2,4,2,3,3,49,2,0,1,0,1,0,0,1
0,7,0,4,14909,4,3,2,1,0,1,2,29,0,2,3,1,1,0,0,1
0,30,4,7,3101,3,4,2,0,1,1,2,19,2,0,1,3,1,1,0,2
1,48,3,8,11243,0,2,1,3,0,1,2,26,1,1,2,2,1,0,1,1
1,5,3,3,7951,3,4,1,3,0,1,1,34,1,0,2,2,1,0,0,1
2,52,1,3,6394,4,0,3,4,1,1,2,47,0,0,1,0,1,0,1,1
1,59,4,8,13260,0,2,3,3,0,1,0,74,1,0,3,2,1,1,0,1
1,44,1,7,4791,2,0,1,4,1,2,0,31,2,0,3,2,1,1,1,1
3,18,0,9,14219,2,3,1,2,2,1,3,22,0,1,1,1,1,1,0,1
0,54,4,9,7563,0,3,2,1,0,3,2,29,0,1,1,2,1,0,0,1
2,27,1,9,1981,1,4,3,4,0,2,0,36,1,0,3,3,1,0,1,1
2,54,0,10,14708,0,3,3,1,0,3,1,30,1,1,2,1,1,0,0,1
1,46,3,4,15798,0,1,3,1,2,2,0,36,1,0,1,1,1,1,1,2
3,10,1,4,10526,2,0,1,4,1,2,2,73,1,1,3,1,1,1,1,1
1,10,4,3,13462,2,4,1,4,1,2,3,40,0,2,3,3,1,0,1,1
3,5,2,2,2942,1,2,2,1,0,3,1,54,0,2,2,0,1,1,0,1
1,8,0,8,6442,1,0,1,3,2,1,1,57,0,2,1,3,1,1,1,1
2,24,4,7,6635,0,4,2,4,0,3,0,26,0,0,1,3,1,1,1,1
2,5,2,8,14189,3,4,2,3,2,1,1,32,2,0,2,1,1,0,0,1
3,67,1,1,6674,1,2,3,0,0,1,1,42,2,2,1,2,1,1,1,1
1,66,3,5,13541,4,3,1,3,2,3,0,44,1,0,2,3,1,0,1,1
1,15,2,2,5849,2,0,3,0,0,3,1,19,0,2,1,3,1,0,1,1
0,25,0,9,11216,4,0,3,4,0,1,3,55,1,1,1,1,1,0,1,1
1,54,3,2,4078,3,1,3,0,1,2,3,35,2,0,1,0,1,1,1,1
3,48,2,1,10442,1,3,3,4,0,2,1,37,0,2,2,2,1,1,1,1
0,43,3,6,1724,3,0,3,0,0,1,3,52,1,1,2,0,1,0,0,1
3,71,4,9,13658,1,0,1,2,1,2,0,72,1,2,2,0,1,0,1,2
2,46,3,10,781,0,3,2,1,0,3,3,67,0,1,3,3,1,1,0,1
0,49,3,1,18486,1,3,2,4,1,2,1,73,1,0,2,1,1,1,0,2
1,38,1,3,15561,1,3,3,1,2,2,2,42,1,2,1,2,1,0,1,1
2,39,1,1,10808,0,3,1,3,0,3,0,25,1,0,3,0,1,0,0,1
1,23,2,3,16849,0,4,2,0,1,1,3,31,2,1,3,0,1,0,1,1
0,39,4,5,15009,4,3,1,2,0,2,1,38,1,1,2,0,1,0,0,2
2,66,2,3,2855,2,2,1,4,1,1,3,35,0,2,1,1,1,1,0,1
2,29,1,0,13832,2,4,3,4,0,3,0,30,0,2,3,0,1,0,0,1
0,13,3,5,7135,4,1,1,1,0,1,2,27,1,1,3,1,1,1,1,1
1,44,4,0,15868,1,0,3,1,0,3,0,29,2,2,2,1,1,1,0,1
0,57,4,2,16014,2,3,3,2,2,2,3,55,0,0,1,2,1,1,1,2
2,69,1,0,17670,4,1,3,2,0,1,1,46,0,0,1,2,1,1,0,1
2,40,3,0,8480,3,4,1,2,2,3,2,21,2,2,1,1,1,0,0,1
2,57,2,4,3773,1,2,1,0,2,1,3,50,1,1,1,1,1,0,0,1
3,21,2,9,2532,1,4,2,3,1,1,2,66,0,1,1,0,1,1,0,1
3,32,1,8,3269,0,0,2,1,0,2,0,42,0,0,2,1,1,1,1,2
1,32,0,1,18350,0,3,3,1,2,3,0,36,1,0,1,3,1,1,0,2
